idx,x,y,z,rx,ry,rz,rw
120,41.05785369873047,-1.315898060798645,2.540208339691162,0.0,0.0,0.08214040732612622,0.9966207671347703
130,39.36260986328125,-1.3922313451766968,2.353527784347534,0.0,0.0,0.07389069465238562,0.9972663461903184
140,38.93205642700195,-1.6598167419433594,2.480746030807495,0.0,0.0,0.06969430078090304,0.997568395870008
140,39.13520050048828,-1.6238245964050293,2.5185108184814453,0.0,0.0,0.07440519734498205,0.9972280915658435
150,38.99387741088867,-2.009514093399048,2.415703058242798,0.0,0.0,0.06270315094771842,0.9980322213542144
150,38.97652816772461,-2.1368024349212646,2.474172830581665,0.0,0.0,0.0585977815251581,0.9982816736774897
160,38.69373321533203,-2.2723724842071533,2.606006145477295,0.0,0.0,0.07462347942338352,0.9972117810769926
170,38.507598876953125,-2.2140486240386963,2.559358596801758,0.0,0.0,0.09141814605703705,0.9958125941016684
180,38.387107849121094,-2.163367986679077,2.217071771621704,0.0,0.0,0.0974733785407099,0.9952381325471102
190,38.043296813964844,-2.1630699634552,2.233639717102051,0.0,0.0,0.07730224662234311,0.9970077044171416
200,38.36731719970703,-1.9646483659744263,2.1911368370056152,0.0,0.0,0.071036034873447,0.9974737499049579
200,38.52265167236328,-1.9669303894042969,2.314903974533081,0.0,0.0,0.08557752463641805,0.9963315147465241
210,38.80974197387695,-1.8104444742202759,2.2785987854003906,0.0,0.0,0.06775472090241913,0.9977020085152858
220,39.125118255615234,-1.9248347282409668,1.9559102058410645,0.0,0.0,0.07949923278150237,0.9968349271505049
230,39.541500091552734,-1.7345919609069824,1.5877766609191895,0.0,0.0,0.06406695858662236,0.997945602133433
240,40.1226692199707,-1.1402579545974731,1.2979555130004883,0.0,0.0,0.05009254859237878,0.9987445802483838
240,40.24057388305664,-1.0454829931259155,1.3018827438354492,0.0,0.0,0.024930388028197952,0.9996891895748216
250,41.25039291381836,-1.0359231233596802,1.5848244428634644,0.0,0.0,0.017162463828565726,0.9998527140710941
260,41.77974319458008,-0.8392180800437927,1.3908429145812988,0.0,0.0,0.033750984967885735,0.9994302732125426
260,41.82398986816406,-0.7923813462257385,1.3296624422073364,0.0,0.0,0.02146878356750135,0.9997695191053445
270,42.27298355102539,-0.19075626134872437,1.2902793884277344,0.0,0.0,0.028063777115840145,0.9996061346420361
280,42.345489501953125,0.3684958815574646,1.4030190706253052,0.0,0.0,0.026024091000963114,0.9996613159903576
280,42.37199783325195,0.4770198464393616,1.3691030740737915,0.0,0.0,0.04360228095242888,0.9990489683172419
290,42.54750061035156,0.6183621883392334,1.5038204193115234,0.0,0.0,0.04108206412183093,0.9991557756463653
290,42.606224060058594,0.6201945543289185,1.431888222694397,0.0,0.0,0.017603832849271167,0.9998450405282885
300,42.5754508972168,-0.20412692427635193,1.8278441429138184,0.0,0.0,0.004805048132385895,0.9999884556895872
310,42.708457946777344,-1.9033167362213135,1.4124168157577515,0.0,0.0,0.0002403659722905273,0.9999999711120993
320,42.930152893066406,-2.940845012664795,1.3217380046844482,0.0,0.0,0.012543872703251042,0.9999213225337305
330,43.335269927978516,-3.7184572219848633,1.2949377298355103,0.0,0.0,0.012548793424403053,0.9999212607918644
